"trial_name","acquisition_date","exported_tissue_sample_name","tissue_sample_name","well_A01","row_number","col_number","source_observation_unit_name","accession_name","synonyms","dna_person","notes","tissue_type","extraction","concentration","volume","is_blank"
"NR21-NG-C4a-Cass-0022","2/3/2022","NR21-NG-C4a-Cass-0022_A01|||NR21C4aF327P0012","NR21-NG-C4a-Cass-0022_A01","A01","A","01","SeedNursumuNR21C4aF327P0012-2133-5","NR21C4aF327P0012","","PRINCESS","NR21-NG-C4-Cass-0022","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0022","2/3/2022","NR21-NG-C4a-Cass-0022_A02|||NR21C4aF329P0005","NR21-NG-C4a-Cass-0022_A02","A02","A","02","SeedNursumuNR21C4aF329P0005-2141-5","NR21C4aF329P0005","","PRINCESS","NR21-NG-C4-Cass-0022","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0022","2/3/2022","NR21-NG-C4a-Cass-0022_A03|||NR21C4aF329P0013","NR21-NG-C4a-Cass-0022_A03","A03","A","03","SeedNursumuNR21C4aF329P0013-2149-5","NR21C4aF329P0013","","PRINCESS","NR21-NG-C4-Cass-0022","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0022","2/3/2022","NR21-NG-C4a-Cass-0022_A04|||NR21C4aF330P0007","NR21-NG-C4a-Cass-0022_A04","A04","A","04","SeedNursumuNR21C4aF330P0007-2157-5","NR21C4aF330P0007","","PRINCESS","NR21-NG-C4-Cass-0022","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0022","2/3/2022","NR21-NG-C4a-Cass-0022_A05|||NR21C4aF330P0016","NR21-NG-C4a-Cass-0022_A05","A05","A","05","SeedNursumuNR21C4aF330P0016-2166-5","NR21C4aF330P0016","","PRINCESS","NR21-NG-C4-Cass-0022","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0022","2/3/2022","NR21-NG-C4a-Cass-0022_A06|||NR21C4aF331P0001","NR21-NG-C4a-Cass-0022_A06","A06","A","06","SeedNursumuNR21C4aF331P0001-2174-5","NR21C4aF331P0001","","PRINCESS","NR21-NG-C4-Cass-0022","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0022","2/3/2022","NR21-NG-C4a-Cass-0022_A07|||NR21C4aF331P0009","NR21-NG-C4a-Cass-0022_A07","A07","A","07","SeedNursumuNR21C4aF331P0009-2182-5","NR21C4aF331P0009","","PRINCESS","NR21-NG-C4-Cass-0022","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0022","2/3/2022","NR21-NG-C4a-Cass-0022_A08|||NR21C4aF332P0006","NR21-NG-C4a-Cass-0022_A08","A08","A","08","SeedNursumuNR21C4aF332P0006-2190-5","NR21C4aF332P0006","","PRINCESS","NR21-NG-C4-Cass-0022","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0022","2/3/2022","NR21-NG-C4a-Cass-0022_A09|||NR21C4aF332P0014","NR21-NG-C4a-Cass-0022_A09","A09","A","09","SeedNursumuNR21C4aF332P0014-2198-5","NR21C4aF332P0014","","PRINCESS","NR21-NG-C4-Cass-0022","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0022","2/3/2022","NR21-NG-C4a-Cass-0022_A10|||NR21C4aF333P0001","NR21-NG-C4a-Cass-0022_A10","A10","A","10","SeedNursumuNR21C4aF333P0001-2206-5","NR21C4aF333P0001","","PRINCESS","NR21-NG-C4-Cass-0022","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0022","2/3/2022","NR21-NG-C4a-Cass-0022_A11|||NR21C4aF333P0009","NR21-NG-C4a-Cass-0022_A11","A11","A","11","SeedNursumuNR21C4aF333P0009-2214-5","NR21C4aF333P0009","","PRINCESS","NR21-NG-C4-Cass-0022","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0022","2/3/2022","NR21-NG-C4a-Cass-0022_A12|||NR21C4aF334P0004","NR21-NG-C4a-Cass-0022_A12","A12","A","12","SeedNursumuNR21C4aF334P0004-2221-5","NR21C4aF334P0004","","PRINCESS","NR21-NG-C4-Cass-0022","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0022","2/3/2022","NR21-NG-C4a-Cass-0022_B01|||NR21C4aF327P0013","NR21-NG-C4a-Cass-0022_B01","B01","B","01","SeedNursumuNR21C4aF327P0013-2134-5","NR21C4aF327P0013","","PRINCESS","NR21-NG-C4-Cass-0022","leaf","NA","NA","NA","0"
