"trial_name","acquisition_date","exported_tissue_sample_name","tissue_sample_name","well_A01","row_number","col_number","source_observation_unit_name","accession_name","synonyms","dna_person","notes","tissue_type","extraction","concentration","volume","is_blank"
"NR21-NG-C4a-Cass-0002","1/26/2022","NR21-NG-C4a-Cass-0002_A01|||NR21C4aF1P0094","NR21-NG-C4a-Cass-0002_A01","A01","A","01","SeedNursumuNR21C4aF1P0094-94-1","NR21C4aF1P0094","","PRINCESS","NR21-NG-C4-Cass-0002","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0002","1/26/2022","NR21-NG-C4a-Cass-0002_A02|||NR21C4aF1P0102","NR21-NG-C4a-Cass-0002_A02","A02","A","02","SeedNursumuNR21C4aF1P0102-102-1","NR21C4aF1P0102","","PRINCESS","NR21-NG-C4-Cass-0002","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0002","1/26/2022","NR21-NG-C4a-Cass-0002_A03|||NR21C4aF1P0110","NR21-NG-C4a-Cass-0002_A03","A03","A","03","SeedNursumuNR21C4aF1P0110-110-1","NR21C4aF1P0110","","PRINCESS","NR21-NG-C4-Cass-0002","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0002","1/26/2022","NR21-NG-C4a-Cass-0002_A04|||NR21C4aF2P0004","NR21-NG-C4a-Cass-0002_A04","A04","A","04","SeedNursumuNR21C4aF2P0004-146-1","NR21C4aF2P0004","","PRINCESS","NR21-NG-C4-Cass-0002","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0002","1/26/2022","NR21-NG-C4a-Cass-0002_A05|||NR21C4aF2P0012","NR21-NG-C4a-Cass-0002_A05","A05","A","05","SeedNursumuNR21C4aF2P0012-154-1","NR21C4aF2P0012","","PRINCESS","NR21-NG-C4-Cass-0002","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0002","1/26/2022","NR21-NG-C4a-Cass-0002_A06|||NR21C4aF2P0020","NR21-NG-C4a-Cass-0002_A06","A06","A","06","SeedNursumuNR21C4aF2P0020-162-1","NR21C4aF2P0020","","PRINCESS","NR21-NG-C4-Cass-0002","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0002","1/26/2022","NR21-NG-C4a-Cass-0002_A07|||NR21C4aF2P0028","NR21-NG-C4a-Cass-0002_A07","A07","A","07","SeedNursumuNR21C4aF2P0028-170-1","NR21C4aF2P0028","","PRINCESS","NR21-NG-C4-Cass-0002","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0002","1/26/2022","NR21-NG-C4a-Cass-0002_A08|||NR21C4aF4P0002","NR21-NG-C4a-Cass-0002_A08","A08","A","08","SeedNursumuNR21C4aF4P0002-182-1","NR21C4aF4P0002","","PRINCESS","NR21-NG-C4-Cass-0002","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0002","1/26/2022","NR21-NG-C4a-Cass-0002_A09|||NR21C4aF5P0006","NR21-NG-C4a-Cass-0002_A09","A09","A","09","SeedNursumuNR21C4aF5P0006-190-1","NR21C4aF5P0006","","PRINCESS","NR21-NG-C4-Cass-0002","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0002","1/26/2022","NR21-NG-C4a-Cass-0002_A10|||NR21C4aF6P0008","NR21-NG-C4a-Cass-0002_A10","A10","A","10","SeedNursumuNR21C4aF6P0008-198-1","NR21C4aF6P0008","","PRINCESS","NR21-NG-C4-Cass-0002","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0002","1/26/2022","NR21-NG-C4a-Cass-0002_A11|||NR21C4aF7P0006","NR21-NG-C4a-Cass-0002_A11","A11","A","11","SeedNursumuNR21C4aF7P0006-206-1","NR21C4aF7P0006","","PRINCESS","NR21-NG-C4-Cass-0002","leaf","NA","NA","NA","0"
"NR21-NG-C4a-Cass-0002","1/26/2022","NR21-NG-C4a-Cass-0002_A12|||NR21C4aF9P0002","NR21-NG-C4a-Cass-0002_A12","A12","A","12","SeedNursumuNR21C4aF9P0002-213-1","NR21C4aF9P0002","","PRINCESS","NR21-NG-C4-Cass-0002","leaf","NA","NA","NA","0"
