"trial_name","acquisition_date","exported_tissue_sample_name","tissue_sample_name","well_A01","row_number","col_number","source_observation_unit_name","accession_name","synonyms","dna_person","notes","tissue_type","extraction","concentration","volume","is_blank"
"NR-NG-C3-Cass-0002","2020-06-26","NR-NG-C3-Cass-0002_A01|||NR19C3aF59P0002","NR-NG-C3-Cass-0002_A01","A01","A","01","NR19C3aF59P0002","NR19C3aF59P0002","","PRINCESS","NR-NG-C3-Cass-0002","leaf","NA","NA","NA","0"
"NR-NG-C3-Cass-0002","2020-06-26","NR-NG-C3-Cass-0002_A02|||NR19C3aF68P0002","NR-NG-C3-Cass-0002_A02","A02","A","02","NR19C3aF68P0002","NR19C3aF68P0002","","PRINCESS","NR-NG-C3-Cass-0002","leaf","NA","NA","NA","0"
"NR-NG-C3-Cass-0002","2020-06-26","NR-NG-C3-Cass-0002_A03|||NR19C3aF74P0003","NR-NG-C3-Cass-0002_A03","A03","A","03","NR19C3aF74P0003","NR19C3aF74P0003","","PRINCESS","NR-NG-C3-Cass-0002","leaf","NA","NA","NA","0"
"NR-NG-C3-Cass-0002","2020-06-26","NR-NG-C3-Cass-0002_A04|||NR19C3aF85P0001","NR-NG-C3-Cass-0002_A04","A04","A","04","NR19C3aF85P0001","NR19C3aF85P0001","","PRINCESS","NR-NG-C3-Cass-0002","leaf","NA","NA","NA","0"
"NR-NG-C3-Cass-0002","2020-06-26","NR-NG-C3-Cass-0002_A05|||NR19C3aF85P0009","NR-NG-C3-Cass-0002_A05","A05","A","05","NR19C3aF85P0009","NR19C3aF85P0009","","PRINCESS","NR-NG-C3-Cass-0002","leaf","NA","NA","NA","0"
"NR-NG-C3-Cass-0002","2020-06-26","NR-NG-C3-Cass-0002_A06|||NR19C3aF98P0002","NR-NG-C3-Cass-0002_A06","A06","A","06","NR19C3aF98P0002","NR19C3aF98P0002","","PRINCESS","NR-NG-C3-Cass-0002","leaf","NA","NA","NA","0"
"NR-NG-C3-Cass-0002","2020-06-26","NR-NG-C3-Cass-0002_A07|||NR19C3aF103P0002","NR-NG-C3-Cass-0002_A07","A07","A","07","NR19C3aF103P0002","NR19C3aF103P0002","","PRINCESS","NR-NG-C3-Cass-0002","leaf","NA","NA","NA","0"
"NR-NG-C3-Cass-0002","2020-06-26","NR-NG-C3-Cass-0002_A08|||NR19C3aF110P0004","NR-NG-C3-Cass-0002_A08","A08","A","08","NR19C3aF110P0004","NR19C3aF110P0004","","PRINCESS","NR-NG-C3-Cass-0002","leaf","NA","NA","NA","0"
"NR-NG-C3-Cass-0002","2020-06-26","NR-NG-C3-Cass-0002_A09|||NR19C3aF111P0007","NR-NG-C3-Cass-0002_A09","A09","A","09","NR19C3aF111P0007","NR19C3aF111P0007","","PRINCESS","NR-NG-C3-Cass-0002","leaf","NA","NA","NA","0"
"NR-NG-C3-Cass-0002","2020-06-26","NR-NG-C3-Cass-0002_A10|||NR19C3aF112P0006","NR-NG-C3-Cass-0002_A10","A10","A","10","NR19C3aF112P0006","NR19C3aF112P0006","","PRINCESS","NR-NG-C3-Cass-0002","leaf","NA","NA","NA","0"
