"trial_name","acquisition_date","exported_tissue_sample_name","tissue_sample_name","well_A01","row_number","col_number","source_observation_unit_name","accession_name","synonyms","dna_person","notes","tissue_type","extraction","concentration","volume","is_blank"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_A01|||NR20C3F7P0016","NR20-NG-C3-Cass-0003_A01","A01","A","01","NR20C3F7P0016","NR20C3F7P0016","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_A02|||NR20C3F8P0014","NR20-NG-C3-Cass-0003_A02","A02","A","02","NR20C3F8P0014","NR20C3F8P0014","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_A03|||NR20C3F9P0004","NR20-NG-C3-Cass-0003_A03","A03","A","03","NR20C3F9P0004","NR20C3F9P0004","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_A04|||NR20C3F10P0003","NR20-NG-C3-Cass-0003_A04","A04","A","04","NR20C3F10P0003","NR20C3F10P0003","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_A05|||NR20C3F11P0005","NR20-NG-C3-Cass-0003_A05","A05","A","05","NR20C3F11P0005","NR20C3F11P0005","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_A06|||NR20C3F11P0014","NR20-NG-C3-Cass-0003_A06","A06","A","06","NR20C3F11P0014","NR20C3F11P0014","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_A07|||NR20C3F12P0004","NR20-NG-C3-Cass-0003_A07","A07","A","07","NR20C3F12P0004","NR20C3F12P0004","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_A08|||NR20C3F14P0005","NR20-NG-C3-Cass-0003_A08","A08","A","08","NR20C3F14P0005","NR20C3F14P0005","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_A09|||NR20C3F16P0007","NR20-NG-C3-Cass-0003_A09","A09","A","09","NR20C3F16P0007","NR20C3F16P0007","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_A10|||NR20C3F16P0017","NR20-NG-C3-Cass-0003_A10","A10","A","10","NR20C3F16P0017","NR20C3F16P0017","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_A11|||NR20C3F16P0025","NR20-NG-C3-Cass-0003_A11","A11","A","11","NR20C3F16P0025","NR20C3F16P0025","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_A12|||NR20C3F16P0032","NR20-NG-C3-Cass-0003_A12","A12","A","12","NR20C3F16P0032","NR20C3F16P0032","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_B01|||NR20C3F8P0001","NR20-NG-C3-Cass-0003_B01","B01","B","01","NR20C3F8P0001","NR20C3F8P0001","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_B02|||NR20C3F8P0016","NR20-NG-C3-Cass-0003_B02","B02","B","02","NR20C3F8P0016","NR20C3F8P0016","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_B03|||NR20C3F9P0006","NR20-NG-C3-Cass-0003_B03","B03","B","03","NR20C3F9P0006","NR20C3F9P0006","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_B04|||NR20C3F10P0004","NR20-NG-C3-Cass-0003_B04","B04","B","04","NR20C3F10P0004","NR20C3F10P0004","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_B05|||NR20C3F11P0006","NR20-NG-C3-Cass-0003_B05","B05","B","05","NR20C3F11P0006","NR20C3F11P0006","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_B06|||NR20C3F11P0015","NR20-NG-C3-Cass-0003_B06","B06","B","06","NR20C3F11P0015","NR20C3F11P0015","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_B07|||NR20C3F13P0001","NR20-NG-C3-Cass-0003_B07","B07","B","07","NR20C3F13P0001","NR20C3F13P0001","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_B08|||NR20C3F14P0008","NR20-NG-C3-Cass-0003_B08","B08","B","08","NR20C3F14P0008","NR20C3F14P0008","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_B09|||NR20C3F16P0008","NR20-NG-C3-Cass-0003_B09","B09","B","09","NR20C3F16P0008","NR20C3F16P0008","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_B10|||NR20C3F16P0018","NR20-NG-C3-Cass-0003_B10","B10","B","10","NR20C3F16P0018","NR20C3F16P0018","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_B11|||NR20C3F16P0026","NR20-NG-C3-Cass-0003_B11","B11","B","11","NR20C3F16P0026","NR20C3F16P0026","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_B12|||NR20C3F16P0033","NR20-NG-C3-Cass-0003_B12","B12","B","12","NR20C3F16P0033","NR20C3F16P0033","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_C01|||NR20C3F8P0005","NR20-NG-C3-Cass-0003_C01","C01","C","01","NR20C3F8P0005","NR20C3F8P0005","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_C02|||NR20C3F8P0017","NR20-NG-C3-Cass-0003_C02","C02","C","02","NR20C3F8P0017","NR20C3F8P0017","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_C03|||NR20C3F9P0007","NR20-NG-C3-Cass-0003_C03","C03","C","03","NR20C3F9P0007","NR20C3F9P0007","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_C04|||NR20C3F10P0007","NR20-NG-C3-Cass-0003_C04","C04","C","04","NR20C3F10P0007","NR20C3F10P0007","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_C05|||NR20C3F11P0007","NR20-NG-C3-Cass-0003_C05","C05","C","05","NR20C3F11P0007","NR20C3F11P0007","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_C06|||NR20C3F11P0016","NR20-NG-C3-Cass-0003_C06","C06","C","06","NR20C3F11P0016","NR20C3F11P0016","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_C07|||NR20C3F13P0002","NR20-NG-C3-Cass-0003_C07","C07","C","07","NR20C3F13P0002","NR20C3F13P0002","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_C08|||NR20C3F15P0001","NR20-NG-C3-Cass-0003_C08","C08","C","08","NR20C3F15P0001","NR20C3F15P0001","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_C09|||NR20C3F16P0010","NR20-NG-C3-Cass-0003_C09","C09","C","09","NR20C3F16P0010","NR20C3F16P0010","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_C10|||NR20C3F16P0019","NR20-NG-C3-Cass-0003_C10","C10","C","10","NR20C3F16P0019","NR20C3F16P0019","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_C11|||NR20C3F16P0027","NR20-NG-C3-Cass-0003_C11","C11","C","11","NR20C3F16P0027","NR20C3F16P0027","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_C12|||NR20C3F16P0034","NR20-NG-C3-Cass-0003_C12","C12","C","12","NR20C3F16P0034","NR20C3F16P0034","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_D01|||NR20C3F8P0006","NR20-NG-C3-Cass-0003_D01","D01","D","01","NR20C3F8P0006","NR20C3F8P0006","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_D02|||NR20C3F8P0018","NR20-NG-C3-Cass-0003_D02","D02","D","02","NR20C3F8P0018","NR20C3F8P0018","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_D03|||NR20C3F9P0009","NR20-NG-C3-Cass-0003_D03","D03","D","03","NR20C3F9P0009","NR20C3F9P0009","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_D04|||NR20C3F10P0008","NR20-NG-C3-Cass-0003_D04","D04","D","04","NR20C3F10P0008","NR20C3F10P0008","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_D05|||NR20C3F11P0008","NR20-NG-C3-Cass-0003_D05","D05","D","05","NR20C3F11P0008","NR20C3F11P0008","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_D06|||NR20C3F11P0017","NR20-NG-C3-Cass-0003_D06","D06","D","06","NR20C3F11P0017","NR20C3F11P0017","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_D07|||NR20C3F13P0003","NR20-NG-C3-Cass-0003_D07","D07","D","07","NR20C3F13P0003","NR20C3F13P0003","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_D08|||NR20C3F15P0002","NR20-NG-C3-Cass-0003_D08","D08","D","08","NR20C3F15P0002","NR20C3F15P0002","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_D09|||NR20C3F16P0011","NR20-NG-C3-Cass-0003_D09","D09","D","09","NR20C3F16P0011","NR20C3F16P0011","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_D10|||NR20C3F16P0020","NR20-NG-C3-Cass-0003_D10","D10","D","10","NR20C3F16P0020","NR20C3F16P0020","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_D11|||NR20C3F16P0028","NR20-NG-C3-Cass-0003_D11","D11","D","11","NR20C3F16P0028","NR20C3F16P0028","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_D12|||NR20C3F16P0035","NR20-NG-C3-Cass-0003_D12","D12","D","12","NR20C3F16P0035","NR20C3F16P0035","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_E01|||NR20C3F8P0007","NR20-NG-C3-Cass-0003_E01","E01","E","01","NR20C3F8P0007","NR20C3F8P0007","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_E02|||NR20C3F8P0019","NR20-NG-C3-Cass-0003_E02","E02","E","02","NR20C3F8P0019","NR20C3F8P0019","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_E03|||NR20C3F9P0011","NR20-NG-C3-Cass-0003_E03","E03","E","03","NR20C3F9P0011","NR20C3F9P0011","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_E04|||NR20C3F11P0001","NR20-NG-C3-Cass-0003_E04","E04","E","04","NR20C3F11P0001","NR20C3F11P0001","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_E05|||NR20C3F11P0009","NR20-NG-C3-Cass-0003_E05","E05","E","05","NR20C3F11P0009","NR20C3F11P0009","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_E06|||NR20C3F11P0018","NR20-NG-C3-Cass-0003_E06","E06","E","06","NR20C3F11P0018","NR20C3F11P0018","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_E07|||NR20C3F14P0001","NR20-NG-C3-Cass-0003_E07","E07","E","07","NR20C3F14P0001","NR20C3F14P0001","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_E08|||NR20C3F16P0002","NR20-NG-C3-Cass-0003_E08","E08","E","08","NR20C3F16P0002","NR20C3F16P0002","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_E09|||NR20C3F16P0013","NR20-NG-C3-Cass-0003_E09","E09","E","09","NR20C3F16P0013","NR20C3F16P0013","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_E10|||NR20C3F16P0021","NR20-NG-C3-Cass-0003_E10","E10","E","10","NR20C3F16P0021","NR20C3F16P0021","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_E11|||NR20C3F16P0029","NR20-NG-C3-Cass-0003_E11","E11","E","11","NR20C3F16P0029","NR20C3F16P0029","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_E12|||NR20C3F16P0036","NR20-NG-C3-Cass-0003_E12","E12","E","12","NR20C3F16P0036","NR20C3F16P0036","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_F01|||NR20C3F8P0008","NR20-NG-C3-Cass-0003_F01","F01","F","01","NR20C3F8P0008","NR20C3F8P0008","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_F02|||NR20C3F9P0001","NR20-NG-C3-Cass-0003_F02","F02","F","02","NR20C3F9P0001","NR20C3F9P0001","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_F03|||NR20C3F9P0013","NR20-NG-C3-Cass-0003_F03","F03","F","03","NR20C3F9P0013","NR20C3F9P0013","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_F04|||NR20C3F11P0002","NR20-NG-C3-Cass-0003_F04","F04","F","04","NR20C3F11P0002","NR20C3F11P0002","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_F05|||NR20C3F11P0011","NR20-NG-C3-Cass-0003_F05","F05","F","05","NR20C3F11P0011","NR20C3F11P0011","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_F06|||NR20C3F12P0001","NR20-NG-C3-Cass-0003_F06","F06","F","06","NR20C3F12P0001","NR20C3F12P0001","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_F07|||NR20C3F14P0002","NR20-NG-C3-Cass-0003_F07","F07","F","07","NR20C3F14P0002","NR20C3F14P0002","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_F08|||NR20C3F16P0003","NR20-NG-C3-Cass-0003_F08","F08","F","08","NR20C3F16P0003","NR20C3F16P0003","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_F09|||NR20C3F16P0014","NR20-NG-C3-Cass-0003_F09","F09","F","09","NR20C3F16P0014","NR20C3F16P0014","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0003","2020-12-09","NR20-NG-C3-Cass-0003_F10|||NR20C3F16P0022","NR20-NG-C3-Cass-0003_F10","F10","F","10","NR20C3F16P0022","NR20C3F16P0022","","PRINCESS","NR20-NG-C3-Cass-0003","leaf","NA","NA","NA","0"
