"trial_name","acquisition_date","exported_tissue_sample_name","tissue_sample_name","well_A01","row_number","col_number","source_observation_unit_name","accession_name","synonyms","dna_person","notes","tissue_type","extraction","concentration","volume","is_blank"
"NR20-NG-C3-Cass-0005","2020-12-10","NR20-NG-C3-Cass-0005_A01|||NR20C3F33P0001","NR20-NG-C3-Cass-0005_A01","A01","A","01","20seedlingnursery_NR20C3F33P0001_447_1","NR20C3F33P0001","","PRINCESS","TZMRK180001_1-1","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0005","2020-12-10","NR20-NG-C3-Cass-0005_A02|||NR20C3F36P0005","NR20-NG-C3-Cass-0005_A02","A02","A","02","20seedlingnursery_NR20C3F36P0005_455_1","NR20C3F36P0005","","PRINCESS","TZMRK180001_1-1","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0005","2020-12-10","NR20-NG-C3-Cass-0005_A03|||NR20C3F37P0006","NR20-NG-C3-Cass-0005_A03","A03","A","03","20seedlingnursery_NR20C3F37P0006_464_1","NR20C3F37P0006","","PRINCESS","TZMRK180001_1-1","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0005","2020-12-10","NR20-NG-C3-Cass-0005_A04|||NR20C3F39P0004","NR20-NG-C3-Cass-0005_A04","A04","A","04","20seedlingnursery_NR20C3F39P0004_473_1","NR20C3F39P0004","","PRINCESS","TZMRK180001_1-1","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0005","2020-12-10","NR20-NG-C3-Cass-0005_A05|||NR20C3F40P0004","NR20-NG-C3-Cass-0005_A05","A05","A","05","20seedlingnursery_NR20C3F40P0004_481_1","NR20C3F40P0004","","PRINCESS","TZMRK180001_1-1","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0005","2020-12-10","NR20-NG-C3-Cass-0005_A06|||NR20C3F40P0014","NR20-NG-C3-Cass-0005_A06","A06","A","06","20seedlingnursery_NR20C3F40P0014_491_1","NR20C3F40P0014","","PRINCESS","TZMRK180001_1-1","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0005","2020-12-10","NR20-NG-C3-Cass-0005_A07|||NR20C3F43P0003","NR20-NG-C3-Cass-0005_A07","A07","A","07","20seedlingnursery_NR20C3F43P0003_504_1","NR20C3F43P0003","","PRINCESS","TZMRK180001_1-1","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0005","2020-12-10","NR20-NG-C3-Cass-0005_A08|||NR20C3F44P0005","NR20-NG-C3-Cass-0005_A08","A08","A","08","20seedlingnursery_NR20C3F44P0005_512_1","NR20C3F44P0005","","PRINCESS","TZMRK180001_1-1","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0005","2020-12-10","NR20-NG-C3-Cass-0005_A09|||NR20C3F47P0001","NR20-NG-C3-Cass-0005_A09","A09","A","09","20seedlingnursery_NR20C3F47P0001_521_1","NR20C3F47P0001","","PRINCESS","TZMRK180001_1-1","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0005","2020-12-10","NR20-NG-C3-Cass-0005_B01|||NR20C3F33P0002","NR20-NG-C3-Cass-0005_B01","B01","B","01","20seedlingnursery_NR20C3F33P0002_448_1","NR20C3F33P0002","","PRINCESS","TZMRK180001_1-1","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0005","2020-12-10","NR20-NG-C3-Cass-0005_B02|||NR20C3F36P0006","NR20-NG-C3-Cass-0005_B02","B02","B","02","20seedlingnursery_NR20C3F36P0006_456_1","NR20C3F36P0006","","PRINCESS","TZMRK180001_1-1","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0005","2020-12-10","NR20-NG-C3-Cass-0005_B03|||NR20C3F37P0008","NR20-NG-C3-Cass-0005_B03","B03","B","03","20seedlingnursery_NR20C3F37P0008_466_1","NR20C3F37P0008","","PRINCESS","TZMRK180001_1-1","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0005","2020-12-10","NR20-NG-C3-Cass-0005_B04|||NR20C3F39P0005","NR20-NG-C3-Cass-0005_B04","B04","B","04","20seedlingnursery_NR20C3F39P0005_474_1","NR20C3F39P0005","","PRINCESS","TZMRK180001_1-1","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0005","2020-12-10","NR20-NG-C3-Cass-0005_B05|||NR20C3F40P0005","NR20-NG-C3-Cass-0005_B05","B05","B","05","20seedlingnursery_NR20C3F40P0005_482_1","NR20C3F40P0005","","PRINCESS","TZMRK180001_1-1","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0005","2020-12-10","NR20-NG-C3-Cass-0005_B06|||NR20C3F41P0001","NR20-NG-C3-Cass-0005_B06","B06","B","06","20seedlingnursery_NR20C3F41P0001_497_1","NR20C3F41P0001","","PRINCESS","TZMRK180001_1-1","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0005","2020-12-10","NR20-NG-C3-Cass-0005_B07|||NR20C3F43P0004","NR20-NG-C3-Cass-0005_B07","B07","B","07","20seedlingnursery_NR20C3F43P0004_505_1","NR20C3F43P0004","","PRINCESS","TZMRK180001_1-1","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0005","2020-12-10","NR20-NG-C3-Cass-0005_B08|||NR20C3F44P0006","NR20-NG-C3-Cass-0005_B08","B08","B","08","20seedlingnursery_NR20C3F44P0006_513_1","NR20C3F44P0006","","PRINCESS","TZMRK180001_1-1","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0005","2020-12-10","NR20-NG-C3-Cass-0005_B09|||NR20C3F47P0002","NR20-NG-C3-Cass-0005_B09","B09","B","09","20seedlingnursery_NR20C3F47P0002_522_1","NR20C3F47P0002","","PRINCESS","TZMRK180001_1-1","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0005","2020-12-10","NR20-NG-C3-Cass-0005_C01|||NR20C3F34P0001","NR20-NG-C3-Cass-0005_C01","C01","C","01","20seedlingnursery_NR20C3F34P0001_449_1","NR20C3F34P0001","","PRINCESS","TZMRK180001_1-1","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0005","2020-12-10","NR20-NG-C3-Cass-0005_C02|||NR20C3F36P0007","NR20-NG-C3-Cass-0005_C02","C02","C","02","20seedlingnursery_NR20C3F36P0007_457_1","NR20C3F36P0007","","PRINCESS","TZMRK180001_1-1","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0005","2020-12-10","NR20-NG-C3-Cass-0005_C03|||NR20C3F38P0001","NR20-NG-C3-Cass-0005_C03","C03","C","03","20seedlingnursery_NR20C3F38P0001_467_1","NR20C3F38P0001","","PRINCESS","TZMRK180001_1-1","leaf","NA","NA","NA","0"
