"trial_name","acquisition_date","exported_tissue_sample_name","tissue_sample_name","well_A01","row_number","col_number","source_observation_unit_name","accession_name","synonyms","dna_person","notes","tissue_type","extraction","concentration","volume","is_blank"
"NR20-NG-C3-Cass-0002","2020-12-09","NR20-NG-C3-Cass-0002_A01|||NR20C3F4P0031","NR20-NG-C3-Cass-0002_A01","A01","A","01","NR20C3F4P0031","NR20C3F4P0031","","PRINCESS","NR20--NG-C3-Cass-0002","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0002","2020-12-09","NR20-NG-C3-Cass-0002_A02|||NR20C3F4P0043","NR20-NG-C3-Cass-0002_A02","A02","A","02","NR20C3F4P0043","NR20C3F4P0043","","PRINCESS","NR20--NG-C3-Cass-0002","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0002","2020-12-09","NR20-NG-C3-Cass-0002_A03|||NR20C3F4P0051","NR20-NG-C3-Cass-0002_A03","A03","A","03","NR20C3F4P0051","NR20C3F4P0051","","PRINCESS","NR20--NG-C3-Cass-0002","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0002","2020-12-09","NR20-NG-C3-Cass-0002_A04|||NR20C3F4P0059","NR20-NG-C3-Cass-0002_A04","A04","A","04","NR20C3F4P0059","NR20C3F4P0059","","PRINCESS","NR20--NG-C3-Cass-0002","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0002","2020-12-09","NR20-NG-C3-Cass-0002_A05|||NR20C3F4P0068","NR20-NG-C3-Cass-0002_A05","A05","A","05","NR20C3F4P0068","NR20C3F4P0068","","PRINCESS","NR20--NG-C3-Cass-0002","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0002","2020-12-09","NR20-NG-C3-Cass-0002_A06|||NR20C3F4P0076","NR20-NG-C3-Cass-0002_A06","A06","A","06","NR20C3F4P0076","NR20C3F4P0076","","PRINCESS","NR20--NG-C3-Cass-0002","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0002","2020-12-09","NR20-NG-C3-Cass-0002_A07|||NR20C3F4P0085","NR20-NG-C3-Cass-0002_A07","A07","A","07","NR20C3F4P0085","NR20C3F4P0085","","PRINCESS","NR20--NG-C3-Cass-0002","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0002","2020-12-09","NR20-NG-C3-Cass-0002_A08|||NR20C3F5P0012","NR20-NG-C3-Cass-0002_A08","A08","A","08","NR20C3F5P0012","NR20C3F5P0012","","PRINCESS","NR20--NG-C3-Cass-0002","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0002","2020-12-09","NR20-NG-C3-Cass-0002_A09|||NR20C3F6P0004","NR20-NG-C3-Cass-0002_A09","A09","A","09","NR20C3F6P0004","NR20C3F6P0004","","PRINCESS","NR20--NG-C3-Cass-0002","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0002","2020-12-09","NR20-NG-C3-Cass-0002_A10|||NR20C3F6P0012","NR20-NG-C3-Cass-0002_A10","A10","A","10","NR20C3F6P0012","NR20C3F6P0012","","PRINCESS","NR20--NG-C3-Cass-0002","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0002","2020-12-09","NR20-NG-C3-Cass-0002_A11|||NR20C3F7P0001","NR20-NG-C3-Cass-0002_A11","A11","A","11","NR20C3F7P0001","NR20C3F7P0001","","PRINCESS","NR20--NG-C3-Cass-0002","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0002","2020-12-09","NR20-NG-C3-Cass-0002_A12|||NR20C3F7P0010","NR20-NG-C3-Cass-0002_A12","A12","A","12","NR20C3F7P0010","NR20C3F7P0010","","PRINCESS","NR20--NG-C3-Cass-0002","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0002","2020-12-09","NR20-NG-C3-Cass-0002_B01|||NR20C3F4P0032","NR20-NG-C3-Cass-0002_B01","B01","B","01","NR20C3F4P0032","NR20C3F4P0032","","PRINCESS","NR20--NG-C3-Cass-0002","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0002","2020-12-09","NR20-NG-C3-Cass-0002_B02|||NR20C3F4P0044","NR20-NG-C3-Cass-0002_B02","B02","B","02","NR20C3F4P0044","NR20C3F4P0044","","PRINCESS","NR20--NG-C3-Cass-0002","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0002","2020-12-09","NR20-NG-C3-Cass-0002_B03|||NR20C3F4P0052","NR20-NG-C3-Cass-0002_B03","B03","B","03","NR20C3F4P0052","NR20C3F4P0052","","PRINCESS","NR20--NG-C3-Cass-0002","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0002","2020-12-09","NR20-NG-C3-Cass-0002_B04|||NR20C3F4P0060","NR20-NG-C3-Cass-0002_B04","B04","B","04","NR20C3F4P0060","NR20C3F4P0060","","PRINCESS","NR20--NG-C3-Cass-0002","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0002","2020-12-09","NR20-NG-C3-Cass-0002_B05|||NR20C3F4P0069","NR20-NG-C3-Cass-0002_B05","B05","B","05","NR20C3F4P0069","NR20C3F4P0069","","PRINCESS","NR20--NG-C3-Cass-0002","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0002","2020-12-09","NR20-NG-C3-Cass-0002_B06|||NR20C3F4P0077","NR20-NG-C3-Cass-0002_B06","B06","B","06","NR20C3F4P0077","NR20C3F4P0077","","PRINCESS","NR20--NG-C3-Cass-0002","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0002","2020-12-09","NR20-NG-C3-Cass-0002_B07|||NR20C3F4P0087","NR20-NG-C3-Cass-0002_B07","B07","B","07","NR20C3F4P0087","NR20C3F4P0087","","PRINCESS","NR20--NG-C3-Cass-0002","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0002","2020-12-09","NR20-NG-C3-Cass-0002_B08|||NR20C3F5P0015","NR20-NG-C3-Cass-0002_B08","B08","B","08","NR20C3F5P0015","NR20C3F5P0015","","PRINCESS","NR20--NG-C3-Cass-0002","leaf","NA","NA","NA","0"
"NR20-NG-C3-Cass-0002","2020-12-09","NR20-NG-C3-Cass-0002_B09|||NR20C3F6P0005","NR20-NG-C3-Cass-0002_B09","B09","B","09","NR20C3F6P0005","NR20C3F6P0005","","PRINCESS","NR20--NG-C3-Cass-0002","leaf","NA","NA","NA","0"
