"trial_name","acquisition_date","exported_tissue_sample_name","tissue_sample_name","well_A01","row_number","col_number","source_observation_unit_name","accession_name","synonyms","dna_person","notes","tissue_type","extraction","concentration","volume","is_blank"
"NR-NG-C2a-Cass-0011c","6/4/2018","plate11_A01|||NR17F95C2aP007","plate11_A01","A01","A","01","NRCRI-2017-umuseedlingF1C2aP961","NR17F95C2aP007","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0011c","6/4/2018","plate11_A02|||NR17F95C2aP015","plate11_A02","A02","A","02","NRCRI-2017-umuseedlingF1C2aP969","NR17F95C2aP015","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0011c","6/4/2018","plate11_A03|||NR17F95C2aP022","plate11_A03","A03","A","03","NRCRI-2017-umuseedlingF1C2aP976","NR17F95C2aP022","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0011c","6/4/2018","plate11_A04|||NR17F97C2aP002","plate11_A04","A04","A","04","NRCRI-2017-umuseedlingF1C2aP984","NR17F97C2aP002","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0011c","6/4/2018","plate11_A05|||NR17F99C2aP004","plate11_A05","A05","A","05","NRCRI-2017-umuseedlingF1C2aP992","NR17F99C2aP004","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0011c","6/4/2018","plate11_A06|||NR17F103C2aP001","plate11_A06","A06","A","06","NRCRI-2017-umuseedlingF1C2aP1000","NR17F103C2aP001","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0011c","6/4/2018","plate11_A07|||NR17F109C2aP001","plate11_A07","A07","A","07","NRCRI-2017-umuseedlingF1C2aP1008","NR17F109C2aP001","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0011c","6/4/2018","plate11_A08|||NR17F116C2aP001","plate11_A08","A08","A","08","NRCRI-2017-umuseedlingF1C2aP1016","NR17F116C2aP001","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0011c","6/4/2018","plate11_A09|||NR17F118C2aP004","plate11_A09","A09","A","09","NRCRI-2017-umuseedlingF1C2aP1024","NR17F118C2aP004","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0011c","6/4/2018","plate11_A10|||NR17F121C2aP004","plate11_A10","A10","A","10","NRCRI-2017-umuseedlingF1C2aP1032","NR17F121C2aP004","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0011c","6/4/2018","plate11_A11|||BLANK","plate11_A11","A11","A","11","BLANK","BLANK","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","1"
"NR-NG-C2a-Cass-0011c","6/4/2018","plate11_A12|||BLANK","plate11_A12","A12","A","12","BLANK","BLANK","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","1"
"NR-NG-C2a-Cass-0011c","6/4/2018","plate11_B01|||NR17F95C2aP008","plate11_B01","B01","B","01","NRCRI-2017-umuseedlingF1C2aP962","NR17F95C2aP008","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0011c","6/4/2018","plate11_B02|||NR17F95C2aP016","plate11_B02","B02","B","02","NRCRI-2017-umuseedlingF1C2aP970","NR17F95C2aP016","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0011c","6/4/2018","plate11_B03|||NR17F96C2aP001","plate11_B03","B03","B","03","NRCRI-2017-umuseedlingF1C2aP977","NR17F96C2aP001","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0011c","6/4/2018","plate11_B04|||NR17F97C2aP003","plate11_B04","B04","B","04","NRCRI-2017-umuseedlingF1C2aP985","NR17F97C2aP003","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0011c","6/4/2018","plate11_B05|||NR17F99C2aP005","plate11_B05","B05","B","05","NRCRI-2017-umuseedlingF1C2aP993","NR17F99C2aP005","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0011c","6/4/2018","plate11_B06|||NR17F103C2aP002","plate11_B06","B06","B","06","NRCRI-2017-umuseedlingF1C2aP1001","NR17F103C2aP002","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0011c","6/4/2018","plate11_B07|||NR17F110C2aP001","plate11_B07","B07","B","07","NRCRI-2017-umuseedlingF1C2aP1009","NR17F110C2aP001","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0011c","6/4/2018","plate11_B08|||NR17F117C2aP001","plate11_B08","B08","B","08","NRCRI-2017-umuseedlingF1C2aP1017","NR17F117C2aP001","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0011c","6/4/2018","plate11_B09|||NR17F118C2aP005","plate11_B09","B09","B","09","NRCRI-2017-umuseedlingF1C2aP1025","NR17F118C2aP005","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0011c","6/4/2018","plate11_B10|||NR17F121C2aP005","plate11_B10","B10","B","10","NRCRI-2017-umuseedlingF1C2aP1033","NR17F121C2aP005","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0011c","6/4/2018","plate11_B11|||BLANK","plate11_B11","B11","B","11","BLANK","BLANK","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","1"
"NR-NG-C2a-Cass-0011c","6/4/2018","plate11_B12|||BLANK","plate11_B12","B12","B","12","BLANK","BLANK","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","1"
"NR-NG-C2a-Cass-0011c","6/4/2018","plate11_C01|||NR17F95C2aP009","plate11_C01","C01","C","01","NRCRI-2017-umuseedlingF1C2aP963","NR17F95C2aP009","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0011c","6/4/2018","plate11_C02|||NR17F95C2aP017","plate11_C02","C02","C","02","NRCRI-2017-umuseedlingF1C2aP971","NR17F95C2aP017","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0011c","6/4/2018","plate11_C03|||NR17F96C2aP002","plate11_C03","C03","C","03","NRCRI-2017-umuseedlingF1C2aP978","NR17F96C2aP002","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0011c","6/4/2018","plate11_C04|||NR17F97C2aP004","plate11_C04","C04","C","04","NRCRI-2017-umuseedlingF1C2aP986","NR17F97C2aP004","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0011c","6/4/2018","plate11_C05|||NR17F99C2aP006","plate11_C05","C05","C","05","NRCRI-2017-umuseedlingF1C2aP994","NR17F99C2aP006","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0011c","6/4/2018","plate11_C06|||NR17F104C2aP001","plate11_C06","C06","C","06","NRCRI-2017-umuseedlingF1C2aP1002","NR17F104C2aP001","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0011c","6/4/2018","plate11_C07|||NR17F111C2aP001","plate11_C07","C07","C","07","NRCRI-2017-umuseedlingF1C2aP1010","NR17F111C2aP001","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0011c","6/4/2018","plate11_C08|||NR17F117C2aP002","plate11_C08","C08","C","08","NRCRI-2017-umuseedlingF1C2aP1018","NR17F117C2aP002","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0011c","6/4/2018","plate11_C09|||NR17F119C2aP001","plate11_C09","C09","C","09","NRCRI-2017-umuseedlingF1C2aP1026","NR17F119C2aP001","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0011c","6/4/2018","plate11_C10|||NR17F121C2aP006","plate11_C10","C10","C","10","NRCRI-2017-umuseedlingF1C2aP1034","NR17F121C2aP006","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
