"trial_name","acquisition_date","exported_tissue_sample_name","tissue_sample_name","well_A01","row_number","col_number","source_observation_unit_name","accession_name","synonyms","dna_person","notes","tissue_type","extraction","concentration","volume","is_blank"
"NR-NG-C2a-Cass-0010c","6/4/2018","plate10_A01|||NR17F89C2aP095","plate10_A01","A01","A","01","NRCRI-2017-umuseedlingF1C2aP863","NR17F89C2aP095","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0010c","6/4/2018","plate10_A02|||NR17F89C2aP103","plate10_A02","A02","A","02","NRCRI-2017-umuseedlingF1C2aP871","NR17F89C2aP103","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0010c","6/4/2018","plate10_A03|||NR17F90C2aP001","plate10_A03","A03","A","03","NRCRI-2017-umuseedlingF1C2aP879","NR17F90C2aP001","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0010c","6/4/2018","plate10_A04|||NR17F91C2aP002","plate10_A04","A04","A","04","NRCRI-2017-umuseedlingF1C2aP889","NR17F91C2aP002","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0010c","6/4/2018","plate10_A05|||NR17F91C2aP010","plate10_A05","A05","A","05","NRCRI-2017-umuseedlingF1C2aP897","NR17F91C2aP010","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0010c","6/4/2018","plate10_A06|||NR17F92C2aP001","plate10_A06","A06","A","06","NRCRI-2017-umuseedlingF1C2aP905","NR17F92C2aP001","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0010c","6/4/2018","plate10_A07|||NR17F93C2aP003","plate10_A07","A07","A","07","NRCRI-2017-umuseedlingF1C2aP913","NR17F93C2aP003","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0010c","6/4/2018","plate10_A08|||NR17F93C2aP011","plate10_A08","A08","A","08","NRCRI-2017-umuseedlingF1C2aP921","NR17F93C2aP011","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0010c","6/4/2018","plate10_A09|||NR17F93C2aP019","plate10_A09","A09","A","09","NRCRI-2017-umuseedlingF1C2aP929","NR17F93C2aP019","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0010c","6/4/2018","plate10_A10|||NR17F94C2aP002","plate10_A10","A10","A","10","NRCRI-2017-umuseedlingF1C2aP937","NR17F94C2aP002","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0010c","6/4/2018","plate10_A11|||NR17F94C2aP010","plate10_A11","A11","A","11","NRCRI-2017-umuseedlingF1C2aP945","NR17F94C2aP010","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0010c","6/4/2018","plate10_A12|||NR17F94C2aP017","plate10_A12","A12","A","12","NRCRI-2017-umuseedlingF1C2aP952","NR17F94C2aP017","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0010c","6/4/2018","plate10_B01|||NR17F89C2aP096","plate10_B01","B01","B","01","NRCRI-2017-umuseedlingF1C2aP864","NR17F89C2aP096","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0010c","6/4/2018","plate10_B02|||NR17F89C2aP104","plate10_B02","B02","B","02","NRCRI-2017-umuseedlingF1C2aP872","NR17F89C2aP104","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0010c","6/4/2018","plate10_B03|||NR17F90C2aP003","plate10_B03","B03","B","03","NRCRI-2017-umuseedlingF1C2aP881","NR17F90C2aP003","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0010c","6/4/2018","plate10_B04|||NR17F91C2aP003","plate10_B04","B04","B","04","NRCRI-2017-umuseedlingF1C2aP890","NR17F91C2aP003","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0010c","6/4/2018","plate10_B05|||NR17F91C2aP011","plate10_B05","B05","B","05","NRCRI-2017-umuseedlingF1C2aP898","NR17F91C2aP011","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0010c","6/4/2018","plate10_B06|||NR17F92C2aP002","plate10_B06","B06","B","06","NRCRI-2017-umuseedlingF1C2aP906","NR17F92C2aP002","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0010c","6/4/2018","plate10_B07|||NR17F93C2aP004","plate10_B07","B07","B","07","NRCRI-2017-umuseedlingF1C2aP914","NR17F93C2aP004","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0010c","6/4/2018","plate10_B08|||NR17F93C2aP012","plate10_B08","B08","B","08","NRCRI-2017-umuseedlingF1C2aP922","NR17F93C2aP012","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0010c","6/4/2018","plate10_B09|||NR17F93C2aP020","plate10_B09","B09","B","09","NRCRI-2017-umuseedlingF1C2aP930","NR17F93C2aP020","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0010c","6/4/2018","plate10_B10|||NR17F94C2aP003","plate10_B10","B10","B","10","NRCRI-2017-umuseedlingF1C2aP938","NR17F94C2aP003","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0010c","6/4/2018","plate10_B11|||NR17F94C2aP011","plate10_B11","B11","B","11","NRCRI-2017-umuseedlingF1C2aP946","NR17F94C2aP011","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0010c","6/4/2018","plate10_B12|||NR17F94C2aP018","plate10_B12","B12","B","12","NRCRI-2017-umuseedlingF1C2aP953","NR17F94C2aP018","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0010c","6/4/2018","plate10_C01|||NR17F89C2aP097","plate10_C01","C01","C","01","NRCRI-2017-umuseedlingF1C2aP865","NR17F89C2aP097","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0010c","6/4/2018","plate10_C02|||NR17F89C2aP105","plate10_C02","C02","C","02","NRCRI-2017-umuseedlingF1C2aP873","NR17F89C2aP105","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0010c","6/4/2018","plate10_C03|||NR17F90C2aP005","plate10_C03","C03","C","03","NRCRI-2017-umuseedlingF1C2aP883","NR17F90C2aP005","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0010c","6/4/2018","plate10_C04|||NR17F91C2aP004","plate10_C04","C04","C","04","NRCRI-2017-umuseedlingF1C2aP891","NR17F91C2aP004","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0010c","6/4/2018","plate10_C05|||NR17F91C2aP012","plate10_C05","C05","C","05","NRCRI-2017-umuseedlingF1C2aP899","NR17F91C2aP012","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
"NR-NG-C2a-Cass-0010c","6/4/2018","plate10_C06|||NR17F92C2aP003","plate10_C06","C06","C","06","NRCRI-2017-umuseedlingF1C2aP907","NR17F92C2aP003","","PRINCESS","C2a seedlings","Leaf","CTAB","NA","NA","0"
